LEVEL,DATE
19.15,01/01/2000
19.31,02/01/2000
19.47,03/01/2000
19.60,04/01/2000
19.69,05/01/2000
19.86,06/01/2000
19.96,07/01/2000
20.03,08/01/2000
20.10,09/01/2000
20.18,10/01/2000
20.23,11/01/2000
20.29,12/01/2000
20.37,13/01/2000
20.42,14/01/2000
20.47,15/01/2000
20.53,16/01/2000
20.59,17/01/2000
20.75,18/01/2000
20.80,19/01/2000
20.84,20/01/2000
20.88,21/01/2000
20.91,22/01/2000
20.93,23/01/2000
20.95,24/01/2000
20.98,25/01/2000
21.01,26/01/2000
21.05,27/01/2000
21.09,28/01/2000
21.13,29/01/2000
21.17,30/01/2000
21.22,31/01/2000
21.26,01/02/2000
21.29,02/02/2000
21.34,03/02/2000
21.38,04/02/2000
21.44,05/02/2000
21.51,06/02/2000
21.58,07/02/2000
21.64,08/02/2000
21.69,09/02/2000
21.71,10/02/2000
21.73,11/02/2000
21.78,12/02/2000
21.83,13/02/2000
21.89,14/02/2000
21.95,15/02/2000
21.99,16/02/2000
22.06,17/02/2000
22.11,18/02/2000
22.16,19/02/2000
22.21,20/02/2000
22.27,21/02/2000
22.29,22/02/2000
22.32,23/02/2000
22.35,24/02/2000
22.37,25/02/2000
22.39,26/02/2000
22.41,27/02/2000
22.44,28/02/2000
22.46,29/02/2000
22.48,01/03/2000
22.52,02/03/2000
22.56,03/03/2000
22.59,04/03/2000
22.63,05/03/2000
22.67,06/03/2000
22.72,07/03/2000
22.78,08/03/2000
22.83,09/03/2000
22.88,10/03/2000
22.95,11/03/2000
23.03,12/03/2000
23.11,13/03/2000
23.20,14/03/2000
23.26,15/03/2000
23.34,16/03/2000
23.42,17/03/2000
23.49,18/03/2000
23.56,19/03/2000
23.64,20/03/2000
23.71,21/03/2000
23.80,22/03/2000
23.89,23/03/2000
24.05,24/03/2000
24.09,25/03/2000
24.13,26/03/2000
24.18,27/03/2000
24.25,28/03/2000
24.31,29/03/2000
24.36,30/03/2000
24.40,31/03/2000
24.45,01/04/2000
24.51,02/04/2000
24.57,03/04/2000
24.65,04/04/2000
24.73,05/04/2000
24.80,06/04/2000
24.86,07/04/2000
24.92,08/04/2000
24.98,09/04/2000
25.03,10/04/2000
25.10,11/04/2000
25.16,12/04/2000
25.24,13/04/2000
25.32,14/04/2000
25.40,15/04/2000
25.49,16/04/2000
25.58,17/04/2000
25.64,18/04/2000
25.73,19/04/2000
25.82,20/04/2000
25.90,21/04/2000
25.97,22/04/2000
26.03,23/04/2000
26.09,24/04/2000
26.16,25/04/2000
26.27,26/04/2000
26.37,27/04/2000
26.43,28/04/2000
26.50,29/04/2000
26.56,30/04/2000
26.61,01/05/2000
26.66,02/05/2000
26.70,03/05/2000
26.74,04/05/2000
26.79,05/05/2000
26.86,06/05/2000
26.93,07/05/2000
26.99,08/05/2000
27.06,09/05/2000
27.12,10/05/2000
27.16,11/05/2000
27.20,12/05/2000
27.24,13/05/2000
27.28,14/05/2000
